id,czech,translation,pronunciation,audio,sequence,level_id,part_id,language_id
10990,angličtina,English,ˈɪŋɡlɪʃ,english,1,1,,1
10991,ano,yes,jˈɛs,yes,2,1,,1
10992,ne,no,nˈoʊ,no,3,1,,1
10993,chlapec,boy,bˈɔɪ,boy,4,1,,1
10994,dívka,girl,ɡˈɜːl,girl,5,1,,1
10995,bratr,brother,bɹˈʌðɚ,brother,6,1,,1
10996,sestra,sister,sˈɪstɚ,sister,7,1,,1
10997,matka,mother,mˈʌðɚ,mother,8,1,,1
10998,otec,father,fˈɑːðɚ,father,9,1,,1
10999,pes,dog,dˈɑːɡ,dog,10,1,,1
11000,kočka,cat,kˈæt,cat,11,1,,1
11001,auto,car,kˈɑːɹ,car,12,1,,1
11002,dům,house,hˈaʊs,house,13,1,,1
11003,hračka,toy,tˈɔɪ,toy,14,1,,1
11004,jíst,eat,ˈiːt,eat,15,1,,1
11005,hrát,play,plˈeɪ,play,16,1,,1
11006,pít,drink,dɹˈɪŋk,drink,17,1,,1
11007,mít rád,like,lˈaɪk,like,18,1,,1
11008,číst,read,ɹˈiːd,read,19,1,,1
11009,učit se,learn,lˈɜːn,learn,20,1,,1
11010,škola,school,skˈuːl,school,21,1,,1
11011,kniha,book,bˈʊk,book,22,1,,1
11012,s,with,wˈɪð,with,23,1,,1
11013,všechno,all,ˈɔːl,all,24,1,,1
11014,a,and,ˈænd,and,25,1,,1
11015,muž,man,mˈæn,man,26,1,,1
11016,žena,woman,wˈʊmən,woman,27,1,,1
11017,kamarád,friend,fɹˈɛnd,friend,28,1,,1
11018,snadný,easy,ˈiːzi,easy,29,1,,1
10978,tvrdý,hard,hˈɑːɹd,hard,30,1,,1
11019,malý,small,smˈɔːl,small,31,1,,1
11020,velký,big,bˈɪɡ,big,32,1,,1
11021,den,day,dˈeɪ,day,33,1,,1
11022,konec,end,ˈɛnd,end,34,1,,1
11023,rodina,family,fˈæmɪli,family,35,1,,1
11024,domov,home,hˈoʊm,home,36,1,,1
11025,jméno,name,nˈeɪm,name,37,1,,1
11026,lidé,people,pˈiːpəl,people,38,1,,1
11027,mluvit,speak,spˈiːk,speak,39,1,,1
11028,zeptat se,ask,ˈæsk,ask,40,1,,1
11029,oko,eye,ˈaɪ,eye,41,1,,1
11030,dítě,child,tʃˈaɪld,child,42,1,,1
11031,syn,son,sˈʌn,son,43,1,,1
11032,dcera,daughter,dˈɔːɾɚ,daughter,44,1,,1
11033,strýc,uncle,ˈʌŋkəl,uncle,45,1,,1
11034,teta,aunt,ˈænt,aunt,46,1,,1
